streamer,streamer_id,total_view_count
"""fextralife""","""156037856""",1451487256
"""riotgames""","""36029255""",1272988816
"""esl_csgo""","""31239503""",610467739
"""shroud""","""37402112""",470283753
"""beyondthesummit""","""29578325""",469790640
"""summit1g""","""26490481""",449304545
"""lirik""","""23161357""",387742294
"""sodapoppin""","""26301881""",362553070
"""xqcow""","""71092938""",341904167
"""imaqtpie""","""24991333""",339812323
"""igromania""","""43534020""",287407089
"""lck_korea""","""190835892""",258710767
"""nl_kripp""","""29795919""",254986488
"""ogaminglol""","""71852533""",251200801
"""loltyler1""","""51496027""",237354201
"""rocketleague""","""57781936""",234457106
"""dyrus""","""30080751""",227040980
"""yoda""","""47071880""",215140727
"""tsm_theoddone""","""30080840""",214857906
"""amouranth""","""125387632""",214563620
"""lvpes""","""22346597""",203270254
"""cblol""","""36511475""",201988073
"""cohhcarnage""","""26610234""",195239917
"""ibai""","""83232866""",188066512
"""smitegame""","""31500812""",187157548
"""dreadztv""","""31089858""",186308314
"""izakooo""","""36717908""",176823989
"""pokimane""","""44445592""",174477299
"""alanzoka""","""38244180""",166758215
"""drlupo""","""29829912""",161656718
