u.name,streamer_id,u.pagerank
"""yassuo""","""121203480""",27115.19300072099
"""trainwreckstv""","""71190292""",23731.96203038047
"""riotgames""","""36029255""",16071.76990351985
"""loltyler1""","""51496027""",12968.51977372886
"""xqcow""","""71092938""",12166.968110834343
"""enardo""","""78131255""",8897.815030946918
"""csgomc_ru""","""213748641""",8024.528236564325
"""esl_csgo""","""31239503""",7497.162711279811
"""roshtein""","""72550899""",7067.987233151093
"""itsbigchase""","""129004176""",6844.865811694717
"""grab""","""93936044""",6844.817189990266
"""elraenn""","""165080419""",6768.775156344151
"""baboabe""","""52028814""",6023.517964432997
"""doaenel""","""466139555""",5518.053889044146
"""cblol""","""36511475""",5397.190042694378
"""k3soju""","""128293484""",4777.822132746862
"""kiyoon""","""117783070""",4724.099016077518
"""spoonkid""","""119925910""",4661.687465777032
"""lck_korea""","""190835892""",4627.570426592498
"""purpled""","""490245656""",3914.3880740341565
"""tommyinnit""","""116228390""",3897.758666994729
"""gtimetv""","""60160906""",3817.395815379591
"""pokimane""","""44445592""",3740.6578325299374
"""auronplay""","""459331509""",3730.1113939428296
"""dota2mc_ru""","""213749122""",3708.0717864962717
"""rraenee""","""145202260""",3671.0567949715037
"""vondice""","""638511570""",3666.127416223358
"""xhankyy""","""48870826""",3626.963243651345
"""fps_shaka""","""49207184""",3599.595257813241
"""xchocobars""","""42583390""",3581.72902184831
