id_comuna,presupuesto
1101,59072234
1107,13984411
1401,7613962
1402,1584008
1403,2500000
1404,3950000
1405,5887820
2101,100635302
2102,9379132
2103,8184166
2104,7055873
2201,46212087
2202,2663357
2203,7294095
2301,5402459
2302,4283360
3101,29543912
3102,9127075
3103,6147200
3201,4435860
3202,6284308
3301,9106767
3302,3318171
3303,2998977
3304,3946468
4101,59222000
4102,56819394
4103,3586345
4104,4090360
4105,4780000
4106,8069308
4201,6299700
4202,3000000
4203,7103931
4204,12768287
4301,21711795
4302,3110695
4303,6681407
4304,3318380
4305,2090300
5101,77718000
5102,11386627
5103,13684060
5104,1629692
5105,7683900
5107,12250000
5109,100482380
5201,9914468
5301,12991512
5302,3549414
5303,5259050
5304,3009539
5401,6967050
5402,3876999
5403,5947500
5404,3544127
5405,20408830
5501,17248430
5502,7747450
5503,4283417
5504,5703367
5506,4696549
5601,21518873
5603,11380129
5604,12353172
5605,9582451
5606,13339600
5701,18346041
5702,3359823
5703,5133425
5704,2542648
5705,4206900
5706,3513325
5801,24359486
5802,8872592
5803,4910700
5804,16687000
6101,55996193
6102,3831532
6103,2753210
6104,4252840
6105,5290000
6106,5027111
6107,6916345
6108,10406400
6109,3316329
6111,3493651
6112,3625811
6113,3825757
6114,2697393
6115,8968799
6116,6363928
6117,8763198
6201,10384795
6202,2490942
6203,3210790
6204,2598116
6205,7642808
6206,2849624
6301,14500000
6302,3188141
6303,8273769
6304,2082643
6305,5394372
6306,3234467
6307,3661210
6308,2671063
6309,2588349
6310,7699845
7101,42998578
7102,14354775
7103,3194250
7104,2081575
7105,6553468
7106,5535788
7107,3102700
7108,3805989
7109,8392995
7110,2408324
7201,9355351
7202,3160048
7203,5469336
7301,26862347
7302,5176170
7303,3570000
7304,8497305
7305,4776191
7306,5051025
7307,6986530
7308,4814779
7309,3687940
7401,15576072
7402,7080135
7403,4722611
7404,8278415
7405,3446855
7406,7533750
7407,3043200
7408,3610765
8101,44704000
8102,29894574
8103,15456966
8104,3065000
8105,5312675
8106,8237700
8107,8343633
8108,20083168
8109,4313960
8110,29795363
8111,11993342
8112,14961392
8201,4190000
8202,6980061
8203,7147208
8204,2340043
8205,5615999
8206,4232100
8207,6234963
8301,38251170
8302,3197788
8303,7582683
8304,5251932
8305,5011437
8306,5713596
8307,2777533
8308,2040880
8309,3032686
8310,1694660
8311,3380777
8312,4030782
8313,6930517
8314,2137930
9101,66388232
9102,5502032
9103,5351699
9104,2437620
9105,5886237
9106,3017152
9107,3830556
9108,8005476
9109,5149741
9110,2336105
9111,7550000
9112,13524153
9113,2754255
9114,4330000
9115,9407039
9116,4134489
9117,3641529
9118,2651040
9119,5372994
9120,10772491
9121,3266000
9201,8768839
9202,5773662
9203,4998389
9204,2446670
9205,3184570
9206,2473372
9207,2795624
9208,2829088
9209,2587480
9210,4193138
9211,6868857
10101,52090583
10102,5800000
10103,2771217
10104,2889074
10105,3660000
10106,3240148
10107,3809054
10108,3500000
10109,10032229
10201,10841402
10202,14368130
10203,7659290
10204,2626500
10205,5824378
10206,3028381
10207,2751001
10208,5297637
10209,3100162
10210,2813450
10301,30000000
10302,2344532
10303,3988842
10304,2921588
10305,2824377
10306,3069820
10307,3081960
10401,3210881
10402,2267646
10403,2727674
10404,1634696
11101,13440140
11102,1716600
11201,7212687
11202,5716021
11203,1974700
11301,2515891
11302,1592867
11303,1462180
11401,4272869
11402,2113872
12101,42514674
12102,1533796
12103,3380175
12104,1721730
12201,2743100
12301,3124177
12302,1572828
12303,1323606
12401,7985095
12402,1565900
13101,163383547
13102,21631584
13103,33120130
13104,36648910
13105,26147357
13106,30377059
13107,36044000
13108,19922968
13109,15090000
13110,95609849
13111,18350500
13112,29062197
13113,34268660
13114,339980450
13115,92819385
13116,16752214
13117,32938722
13118,33799600
13119,119318265
13120,63443811
13121,14788025
13122,56733837
13123,125041538
13124,87884438
13125,46258275
13126,27227977
13127,35469622
13128,37374165
13129,30509260
13130,29790072
13131,15302965
13132,97000000
13201,85384573
13202,8778703
13203,5948974
13301,50974140
13302,36139088
13303,3995001
13401,52127690
13402,23852125
13403,8965100
13404,12509277
13501,34185591
13502,6068911
13503,6464280
13504,6326744
13505,3145694
13601,13429420
13602,6400000
13603,6342052
13604,9898130
13605,14636053
14101,34900000
14102,2340000
14103,3602277
14104,3946225
14105,2080033
14106,3452100
14107,3497219
14108,16864000
14201,6839300
14202,3486415
14203,3135370
14204,5771272
15101,37808221
15102,2478356
15201,2664568
15202,1438262
16101,33169675
16102,4529280
16103,5256732
16104,3129310
16105,2925257
16106,3404615
16107,6089227
16108,3709991
16109,4031952
16201,3598726
16202,2575353
16203,4393538
16204,2098227
16205,1878677
16206,2450955
16207,2120717
16301,10459691
16302,5001190
16303,3386698
16304,1798500
16305,3979700
